#,How confident are you now in managing your emotions and staying calm when things get stressful at work or in life?,"After learning about emotional intelligence, how are you at recognizing your personal emotional triggers?",Understanding common workplace triggers ,Seeing the difference between low vs. high emotional intelligence ,Creating my Emotional Pause Plan ,Learning ways to stay calm and in control ,Talking with others about emotional stress ,Visualizing myself responding better in tough situations ,Identifying how others see me when I’m stressed ,Other,"After the Communication Styles workshop, *how well do you understand your own communication style?*",What’s the communication habit _*you most want to work on this summer?*_,Other,Are you more or less motivated about setting and actually reaching your goals after the goals workshop?,What is *ONE specific personal or professional goal* you plan to work on this summer?,What is your current clarity level about your possible career paths?,Exploring what I’m naturally good at ,Seeing how hobbies or skills connect to real careers ,Talking with others about dream jobs and paths ,Identifying what I don’t want in a job ,Learning that career paths can change over time ,Getting new ideas I never considered before ,"Realizing I don’t need a full plan, just a direction ",Other,How confident are you in your ability *to manage your money* this summer?,Which lessons from the *Money Moves workshop *do you think will help you most? *(Select TWO)*,Other,"After the personal branding session, how confident are you in *how you show up professionally*?",Practice my elevator pitch ,Start or improve a professional social media profile ,Ask for feedback about how I come across to others ,Be more intentional about how I speak and carry myself ,Make a better first impression in new spaces ,Network and build relationships ,Post content that shows who I am professionally ,Other,"Overall, how much do you feel you grew during the orientation?",Would you recommend this orientation and program to a friend or peer?,What are *TWO topics or focus areas* you wish we included in orientation that weren’t covered?,What’s *ONE SUGGESTION* you have for how we can make orientation even better next time?,What were *TWO THINGS* about this orientation that you enjoyed or found most valuable?,"How old are you?
",What is your current education status?,Other,What is your gender identity?,Other,Black or African American ,Hispanic or Latino ,White ,Asian or Pacific Islander ,American Indian or Alaska Native ,"Have you signed up to receive your paycheck with ""Direct Deposit"" and have a bank account?","If you are set up for ""direct deposit"", what is the name of your bank?",Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags,Ending
3r116t1hh4jn7wq63r116toyehnbqxpu,Extremely confident ,"A lot better, I understand them clearly now ",,,,Learning ways to stay calm and in control ,,Visualizing myself responding better in tough situations ,,,I understand it clearly ,Knowing how to adjust depending on who I’m talking to ,,Much more motivated ,Working out,I have solid ideas ,Exploring what I’m naturally good at ,,,,,,"Realizing I don’t need a full plan, just a direction ",,Extremely confident ,Prioritizing needs vs. wants ,,Very confident ,,,,Be more intentional about how I speak and carry myself ,,Network and build relationships ,,,A lot ,Absolutely yes ,Everything was good,Food Food Food 9amto2pm no food is crazy,The people and the atmosphere was very good from peers to staff,14-17,In high school ,,Male ,,Black or African American ,Hispanic or Latino ,,,,YES,Bank of America,completed,2025-06-10 22:38:40,,2025-06-10 22:44:49,da683d36d2,,
5pw9w5nvzrtf5pw977xk00jo2vl30vc3,A little confident ,Much better ,,,,Learning ways to stay calm and in control ,,Visualizing myself responding better in tough situations ,,,I have a general idea ,Speaking with a professional tone ,,Much more motivated ,Getting better at my job,I have solid ideas ,,,,Identifying what I don’t want in a job ,Learning that career paths can change over time ,,,,Very confident ,Prioritizing needs vs. wants ,,Somewhat confident ,,,Ask for feedback about how I come across to others ,,Make a better first impression in new spaces ,,,,A lot ,Absolutely yes ,"I feel like everything was covered, and that really just opened up the space to more curiosity ends learning","I guess have more people, express opportunities and job plans, etc.","OK, just talking to people and learning about their careers and their future and what goes on for others and them and beyond",21,Currently enrolled in 2/4-year college ,,Female ,,,Hispanic or Latino ,,,,YES,Bank of America,completed,2025-06-10 20:44:41,,2025-06-10 20:56:35,371b1074b8,,
8phhspzlh9jx7h8phhjukj0rddkoxlu6,A little confident ,Much better ,Understanding common workplace triggers ,,,,,,Identifying how others see me when I’m stressed ,,I have a general idea ,Being more confident when I speak ,,Much more motivated ,Saving money,I have solid ideas ,,Seeing how hobbies or skills connect to real careers ,Talking with others about dream jobs and paths ,,,,,,Somewhat confident ,Prioritizing needs vs. wants ,,Very confident ,,,Ask for feedback about how I come across to others ,,Make a better first impression in new spaces ,,,,A lot ,Absolutely yes ,Nothing,Snacks,The friends made and the advice given,20,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,,Wells Fargo,completed,2025-06-10 18:59:16,,2025-06-10 19:00:47,9580fece05,,
k26pi6bicbsvzd2yfk26pi67a2u4fhzr,Extremely confident ,"A lot better, I understand them clearly now ",,Seeing the difference between low vs. high emotional intelligence ,,,,Visualizing myself responding better in tough situations ,,,I understand it clearly ,Being more confident when I speak ,,A little more motivated ,Learning a trade,I have a little more clarity now ,,Seeing how hobbies or skills connect to real careers ,,,,,"Realizing I don’t need a full plan, just a direction ",,Very confident ,Prioritizing needs vs. wants ,,Very confident ,,,,,Make a better first impression in new spaces ,Network and build relationships ,,,Somewhat ,Probably yes ,None where needed,None,The people and the help,22,High school graduate (not in school) ,,Male ,,Black or African American ,,,,,YES,Wells Fargo,completed,2025-06-10 17:06:13,,2025-06-10 17:20:48,751a38f519,,
6pb6dn5vxn2itktj6pb6eidta6hte2kc,Extremely confident ,"A lot better, I understand them clearly now ",,Seeing the difference between low vs. high emotional intelligence ,,Learning ways to stay calm and in control ,,,,,I understand it clearly ,Knowing how to adjust depending on who I’m talking to ,,Much more motivated ,Growing and moving up to get better in life,I have solid ideas ,,Seeing how hobbies or skills connect to real careers ,,,,Getting new ideas I never considered before ,,,Extremely confident ,Understanding how to start saving now ,,Very confident ,,Start or improve a professional social media profile ,,,,Network and build relationships ,,,More than expected,Absolutely yes ,Money move and emotional intelligence and self awareness,By talking more and getting to know everybody and learning new things,Money move and motivation,22,,Working,Female ,,Black or African American ,,,,,YES,Chime,completed,2025-06-10 17:05:45,,2025-06-10 17:14:07,0db6c797c0,,
vvv5yp8gb0hbevvvi0debwb8424msank,Extremely confident ,"A lot better, I understand them clearly now ",,Seeing the difference between low vs. high emotional intelligence ,,Learning ways to stay calm and in control ,,,,,I know it and I’m already working to improve it ,Being more confident when I speak ,,Extremely motivated to take action now ,Communication,I have solid ideas ,,,,Identifying what I don’t want in a job ,Learning that career paths can change over time ,,,,Extremely confident ,Using apps to help me track money ,,Extremely confident in how I present myself ,,,,Be more intentional about how I speak and carry myself ,,Network and build relationships ,,,Somewhat ,Absolutely yes ,N/A,Shorter/for former participants to make this optional,Programming and staff,21,Recently graduated from college ,,Male ,,,Hispanic or Latino ,,,,YES,Charles Schwab,completed,2025-06-10 17:05:43,,2025-06-10 17:08:36,989f7df4c2,,
80y2g77h4anc7qyo7c2b80y2gyk1mp1e,Very confident ,Much better ,Understanding common workplace triggers ,Seeing the difference between low vs. high emotional intelligence ,,,,,,,I understand it clearly ,Being more confident when I speak ,,Much more motivated ,Saving money,I have solid ideas ,Exploring what I’m naturally good at ,Seeing how hobbies or skills connect to real careers ,,,,,,,Very confident ,Prioritizing needs vs. wants ,,Very confident ,Practice my elevator pitch ,,,Be more intentional about how I speak and carry myself ,,,,,A lot ,Probably yes ,None,None,Prioritizing saving money and how to decide a career.,14-17,In high school ,,Male ,,Black or African American ,,White ,Asian or Pacific Islander ,,YES,Provident Bank,completed,2025-06-10 17:05:40,,2025-06-10 17:08:58,a7c3d1e887,,
xe8nh1vdffs2wrtxe8nhh1r7tfzdow8y,Very confident ,Much better ,,,,Learning ways to stay calm and in control ,Talking with others about emotional stress ,,,,I understand it clearly ,Managing body language and non-verbal cues ,,Much more motivated ,Making connections within the worksite and land the career/job,I have solid ideas ,Exploring what I’m naturally good at ,Seeing how hobbies or skills connect to real careers ,,,,,,,Very confident ,Understanding how to start saving now ,,Very confident ,Practice my elevator pitch ,,,,,Network and build relationships ,,,A lot ,Probably yes ,I think everything was covered,Everything was perfect,Talking bout communication and networking,22,Recently graduated from college ,,Female ,,Black or African American ,,,,,YES,PNC Bank,completed,2025-06-10 17:05:29,,2025-06-10 17:09:41,79cdb1b7cf,,
7am37c2sl8cbetc8fq67am37c24lruhm,Extremely confident ,Much better ,,Seeing the difference between low vs. high emotional intelligence ,,,Talking with others about emotional stress ,,,,I know it and I’m already working to improve it ,Speaking with a professional tone ,,Extremely motivated to take action now ,Money management,I feel very clear about my options and direction ,,,,Identifying what I don’t want in a job ,,Getting new ideas I never considered before ,,,Extremely confident ,Knowing how to create a basic budget ,,Somewhat confident ,,,,Be more intentional about how I speak and carry myself ,Make a better first impression in new spaces ,,,,More than expected,Absolutely yes ,Credit and food,Having breakfast,Money management and branding,19,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,Bank of America,completed,2025-06-10 17:05:25,,2025-06-10 17:08:10,9da1440255,,
w8tnc9pu6433apd13dq8inw8tnctq6cv,Very confident ,"A lot better, I understand them clearly now ",,,,,,Visualizing myself responding better in tough situations ,Identifying how others see me when I’m stressed ,,I understand it clearly ,Managing body language and non-verbal cues ,,A little more motivated ,i plan to work on a coding project to put on my resume,I have solid ideas ,,,Talking with others about dream jobs and paths ,,,,"Realizing I don’t need a full plan, just a direction ",,Extremely confident ,Learning the real cost of things ,,Somewhat confident ,,Start or improve a professional social media profile ,,,,Network and build relationships ,,,A little bit ,Probably yes ,"It could’ve gone over how to rise within the corporate world, as well as what ways we can get out names and talents more respresented",We can start on time.,I enjoyed the workshops as well as the emotional intelligence section.,21,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,Chase,completed,2025-06-10 17:05:23,,2025-06-10 17:11:36,34aa4047e6,,
